interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SCE-APND,DLAP,20.30333,24.36038,-2.86096,-1.19609
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SCE-APND,DLAP,30.46674,32.48794,-0.6567,-1.36449
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SCE-APND,DLAP,44.6278,46.67188,-0.26589,-1.7782
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SCE-APND,DLAP,45.2663,47.50605,-0.56753,-1.67221
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SCE-APND,DLAP,45.14785,47.15731,-0.5523,-1.45716
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SCE-APND,DLAP,44.79797,46.85941,-0.55257,-1.50887
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SCE-APND,DLAP,44.79334,46.83042,-0.51977,-1.51731
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SCE-APND,DLAP,44.83228,46.54366,-0.51986,-1.19152
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SCE-APND,DLAP,44.91756,46.4611,-0.29838,-1.24516
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SCE-APND,DLAP,44.09466,45.17896,0.0,-1.08429
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SCE-APND,DLAP,43.0195,43.56846,0.0,-0.54896
