interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,27.16833,24.36038,3.89199,-1.08404
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,40.81775,32.48794,9.19399,-0.86418
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,50.00765,46.67188,4.17119,-0.83543
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,53.14006,47.50605,6.12808,-0.49406
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,52.97921,47.15731,6.14728,-0.32539
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,52.83913,46.85941,6.35928,-0.37956
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,52.58138,46.83042,6.11155,-0.36059
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,52.50113,46.54366,6.20415,-0.24668
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,49.53971,46.4611,3.55717,-0.47855
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,44.93951,45.17896,0.0,-0.23945
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,43.47598,43.56846,-0.001,-0.09149
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,42.6033,42.56156,-0.00081,0.04256
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,41.36289,41.44163,0.0,-0.07874
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,41.32951,41.29647,0.0,0.03304
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,43.80171,43.72738,0.0,0.07434
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,47.94105,48.03712,0.0,-0.09607
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,54.07238,53.80872,0.0,0.26366
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,49.44038,50.20359,-0.00012,-0.76309
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,41.98726,36.24868,6.90941,-1.17083
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,34.17106,31.37498,3.96951,-1.17342
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,34.09,30.4148,4.98303,-1.30784
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,31.54094,30.30874,2.53851,-1.30631
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,30.12786,28.72371,2.58757,-1.18342
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,30.00281,27.5231,3.51732,-1.03762
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,31.94584,29.25374,3.5902,-0.89809
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,44.0,36.26717,8.57785,-0.84503
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,53.57033,48.67146,5.04002,-0.14115
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,58.5581,49.92982,9.04769,-0.41941
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,53.63283,49.09746,4.82995,-0.29458
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,51.96472,48.26352,3.71085,-0.00965
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,49.12421,47.82684,1.20171,0.09565
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,48.68093,46.98496,1.49863,0.19734
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,46.94795,46.77488,0.0,0.17307
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,45.5,44.78125,0.04704,0.67172
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,46.92992,46.65002,0.0,0.2799
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,44.71838,44.14014,0.0,0.57824
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,44.66262,43.91244,-0.00072,0.7509
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,44.6342,43.94485,-0.00058,0.68993
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,46.02394,45.32146,0.0,0.70248
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,49.98804,49.22505,0.0,0.76299
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,52.86391,52.30425,0.0,0.55966
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,53.87229,53.80235,0.0,0.06994
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,46.76986,47.70001,0.0,-0.93015
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,42.48837,45.50077,-1.58367,-1.42872
2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,38.84663,41.67358,-1.41004,-1.4169
2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,38.27662,41.21662,-1.40674,-1.53326
2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,36.10289,38.33863,-1.10858,-1.12716
2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,35.25746,37.79955,-1.39676,-1.14533
2025-01-03 22:00:00+00:00,2025-01-03 23:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,36.24912,38.23183,-0.679,-1.30371
2025-01-03 23:00:00+00:00,2025-01-04 00:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,42.74531,43.343,-0.10358,-0.49411
2025-01-04 00:00:00+00:00,2025-01-04 01:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,50.24587,48.42678,1.65929,0.15981
2025-01-04 01:00:00+00:00,2025-01-04 02:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,53.22166,49.04245,4.01737,0.16184
2025-01-04 02:00:00+00:00,2025-01-04 03:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,50.91775,46.23951,4.2667,0.41153
2025-01-04 03:00:00+00:00,2025-01-04 04:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,45.98423,44.8832,0.75991,0.34111
2025-01-04 04:00:00+00:00,2025-01-04 05:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,43.65117,43.68175,0.0,-0.03058
2025-01-04 05:00:00+00:00,2025-01-04 06:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,42.32215,42.77557,0.0,-0.45342
2025-01-04 06:00:00+00:00,2025-01-04 07:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,40.42684,41.08463,-0.00455,-0.65325
2025-01-04 07:00:00+00:00,2025-01-04 08:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,38.8598,39.48765,0.0,-0.62785
2025-01-04 08:00:00+00:00,2025-01-04 09:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,39.02775,39.13,-0.10225,0.0
2025-01-04 09:00:00+00:00,2025-01-04 10:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,39.89394,40.15899,0.0,-0.26505
2025-01-04 10:00:00+00:00,2025-01-04 11:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,39.43137,39.64546,0.0,-0.21409
2025-01-04 11:00:00+00:00,2025-01-04 12:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,38.06054,38.31341,0.0,-0.25287
2025-01-04 12:00:00+00:00,2025-01-04 13:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,39.91606,40.26937,-0.01102,-0.34229
2025-01-04 13:00:00+00:00,2025-01-04 14:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,40.28496,40.54445,0.0,-0.25948
2025-01-04 14:00:00+00:00,2025-01-04 15:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,40.94638,41.24333,0.0,-0.29695
2025-01-04 15:00:00+00:00,2025-01-04 16:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,40.04322,40.8063,0.0,-0.76308
2025-01-04 16:00:00+00:00,2025-01-04 17:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,22.44549,21.9573,1.33574,-0.84755
2025-01-04 17:00:00+00:00,2025-01-04 18:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,24.88027,19.41807,6.31854,-0.85634
2025-01-04 18:00:00+00:00,2025-01-04 19:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,19.27244,16.72281,3.24196,-0.69232
2025-01-04 19:00:00+00:00,2025-01-04 20:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,14.42519,15.90671,-0.78322,-0.6983
2025-01-04 20:00:00+00:00,2025-01-04 21:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,15.23257,14.27874,1.56638,-0.61256
2025-01-04 21:00:00+00:00,2025-01-04 22:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,10.98917,13.38093,-1.8204,-0.57137
2025-01-04 22:00:00+00:00,2025-01-04 23:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,16.58274,16.75832,0.44112,-0.61671
2025-01-04 23:00:00+00:00,2025-01-05 00:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,28.67044,27.57691,2.02564,-0.9321
2025-01-05 00:00:00+00:00,2025-01-05 01:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,42.66651,43.26873,-0.01376,-0.58845
2025-01-05 01:00:00+00:00,2025-01-05 02:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,50.0776,47.65004,3.0756,-0.64804
2025-01-05 02:00:00+00:00,2025-01-05 03:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,50.27532,47.31094,3.53212,-0.56773
2025-01-05 03:00:00+00:00,2025-01-05 04:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,50.02711,47.10903,3.45042,-0.53233
2025-01-05 04:00:00+00:00,2025-01-05 05:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,48.95276,46.80001,2.74711,-0.59436
2025-01-05 05:00:00+00:00,2025-01-05 06:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,47.91668,46.68306,1.8545,-0.62088
2025-01-05 06:00:00+00:00,2025-01-05 07:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,45.94245,46.20139,-0.00021,-0.25873
2025-01-05 07:00:00+00:00,2025-01-05 08:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,45.09708,45.09296,-0.00039,0.00451
2025-01-05 08:00:00+00:00,2025-01-05 09:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,44.33479,44.34649,-0.3443,0.3326
2025-01-05 09:00:00+00:00,2025-01-05 10:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,43.78695,43.85395,-0.27312,0.20611
2025-01-05 10:00:00+00:00,2025-01-05 11:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,42.93951,43.05873,-0.27853,0.15932
2025-01-05 11:00:00+00:00,2025-01-05 12:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,42.21937,42.33292,-0.22785,0.1143
2025-01-05 12:00:00+00:00,2025-01-05 13:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,43.64215,43.52337,-0.06401,0.1828
2025-01-05 13:00:00+00:00,2025-01-05 14:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,43.75293,43.56761,-0.06738,0.25269
2025-01-05 14:00:00+00:00,2025-01-05 15:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,44.74764,44.58269,0.0,0.16496
2025-01-05 15:00:00+00:00,2025-01-05 16:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,41.32946,41.8823,0.0,-0.55285
2025-01-05 16:00:00+00:00,2025-01-05 17:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,24.71739,24.33387,1.46394,-1.08042
2025-01-05 17:00:00+00:00,2025-01-05 18:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,16.7297,18.25757,-0.60038,-0.92748
2025-01-05 18:00:00+00:00,2025-01-05 19:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,12.82453,16.39993,-2.97023,-0.60516
2025-01-05 19:00:00+00:00,2025-01-05 20:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,5.52631,14.48036,-8.21555,-0.7385
2025-01-05 20:00:00+00:00,2025-01-05 21:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,3.83636,11.80367,-7.50224,-0.46506
2025-01-05 21:00:00+00:00,2025-01-05 22:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,2.40427,9.12208,-6.71781,0.0
2025-01-05 22:00:00+00:00,2025-01-05 23:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,6.53543,15.43811,-8.4488,-0.45388
2025-01-05 23:00:00+00:00,2025-01-06 00:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,22.95837,25.84204,-2.05931,-0.82436
2025-01-06 00:00:00+00:00,2025-01-06 01:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,46.06104,46.4636,-0.01227,-0.39029
2025-01-06 01:00:00+00:00,2025-01-06 02:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,50.97458,48.56839,2.40619,0.0
2025-01-06 02:00:00+00:00,2025-01-06 03:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,48.77547,46.95909,1.81638,0.0
2025-01-06 03:00:00+00:00,2025-01-06 04:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,49.37546,48.70627,1.31698,-0.64779
2025-01-06 04:00:00+00:00,2025-01-06 05:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,48.73564,48.44221,0.8166,-0.52318
2025-01-06 05:00:00+00:00,2025-01-06 06:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,47.29907,48.03991,-0.18838,-0.55246
2025-01-06 06:00:00+00:00,2025-01-06 07:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,48.7959,47.59085,1.30975,-0.1047
2025-01-06 07:00:00+00:00,2025-01-06 08:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,46.38413,46.42171,-0.00044,-0.03714
2025-01-06 08:00:00+00:00,2025-01-06 09:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,45.40204,45.07301,0.0,0.32903
2025-01-06 09:00:00+00:00,2025-01-06 10:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_SDGE-APND,DLAP,44.92392,44.87049,-0.00041,0.05384
