interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_VEA-APND,DLAP,18.36911,24.36038,-3.59665,-2.39463
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_VEA-APND,DLAP,27.45816,32.48794,-2.36252,-2.66726
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_VEA-APND,DLAP,42.35165,46.67188,-1.0672,-3.25303
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_VEA-APND,DLAP,42.86642,47.50605,-1.62774,-3.01188
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_VEA-APND,DLAP,42.46475,47.15731,-1.60848,-3.08409
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_VEA-APND,DLAP,42.05689,46.85941,-1.6442,-3.15832
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_VEA-APND,DLAP,42.31042,46.83042,-1.56969,-2.95032
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_VEA-APND,DLAP,42.30747,46.54366,-1.5832,-2.65299
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_VEA-APND,DLAP,42.65649,46.4611,-0.91472,-2.88988
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_VEA-APND,DLAP,42.7167,45.17896,0.0,-2.46225
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,DLAP_VEA-APND,DLAP,41.94772,43.56846,0.0,-1.62075
