interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,28.06569,24.36038,2.66755,1.03775
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,32.39461,32.48794,-1.2629,1.16957
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,46.95426,46.67188,-0.64639,0.92877
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,47.02741,47.50605,-0.90144,0.4228
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,46.31712,47.15731,-0.88734,0.04716
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,46.10823,46.85941,-0.90113,0.14995
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,46.10606,46.83042,-0.85549,0.13113
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,45.56278,46.54366,-0.85986,-0.12101
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,46.09088,46.4611,-0.50031,0.13009
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,45.09415,45.17896,-0.04414,-0.04066
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,TH_NP15_GEN-APND,Trading Hub,43.05436,43.56846,0.0,-0.51411
