interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,TH_SP15_GEN-APND,Trading Hub,21.23309,24.36038,-1.47566,-1.65163
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,TH_SP15_GEN-APND,Trading Hub,31.87551,32.48794,1.34335,-1.95577
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,TH_SP15_GEN-APND,Trading Hub,44.57175,46.67188,0.71419,-2.81431
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,TH_SP15_GEN-APND,Trading Hub,45.86494,47.50605,0.96698,-2.60808
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,TH_SP15_GEN-APND,Trading Hub,45.62168,47.15731,0.86939,-2.40502
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,TH_SP15_GEN-APND,Trading Hub,45.49087,46.85941,1.0166,-2.38514
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,TH_SP15_GEN-APND,Trading Hub,45.42899,46.83042,0.9916,-2.39303
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,TH_SP15_GEN-APND,Trading Hub,45.3783,46.54366,1.00357,-2.16893
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,TH_SP15_GEN-APND,Trading Hub,44.71941,46.4611,0.43734,-2.17903
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,TH_SP15_GEN-APND,Trading Hub,42.05664,45.17896,-1.0486,-2.07371
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,TH_SP15_GEN-APND,Trading Hub,41.56954,43.56846,-0.38253,-1.61639
