interval_start_utc,interval_end_utc,location,location_type,market,spp
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,14.34
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,14.98
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,21.28
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,36.75
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,33.13
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,29.64
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,26.13
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,19.69
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,19.57
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,17.99
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,20.13
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,17.89
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,16.68
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,17.01
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,18.2
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,23.28
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,23.64
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,26.79
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,22.78
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,20.43
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,19.54
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,19.66
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,20.07
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,20.12
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,20.8
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,20.59
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,25.26
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,38.72
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,33.94
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,30.55
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,27.7
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,23.72
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,22.81
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,21.63
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,24.37
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,22.6
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,22.47
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,23.16
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,23.53
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,28.39
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,34.91
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,40.38
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,30.72
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,24.56
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,23.05
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,20.8
2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,19.04
2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,17.38
2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,15.74
2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,15.96
2025-01-03 22:00:00+00:00,2025-01-03 23:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,22.95
2025-01-03 23:00:00+00:00,2025-01-04 00:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,34.31
2025-01-04 00:00:00+00:00,2025-01-04 01:00:00+00:00,HB_HOUSTON,Trading Hub,DAY_AHEAD_HOURLY,27.58
