interval_start_utc,interval_end_utc,location,location_type,market,spp
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,14.36
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,15.05
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,21.24
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,41.28
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,32.49
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,26.47
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,19.21
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,11.68
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,6.25
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,4.94
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,6.74
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,9.98
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,7.67
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,5.93
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,15.49
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,21.73
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,22.74
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,26.18
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,22.19
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,20.28
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,19.67
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,19.78
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,20.18
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,20.43
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,20.91
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,20.79
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,25.54
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,43.58
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,38.05
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,32.8
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,28.96
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,25.09
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,24.64
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,23.41
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,27.6
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,27.29
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,27.31
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,28.51
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,29.04
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,HB_PAN,Trading Hub,DAY_AHEAD_HOURLY,35.68
