interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,38.08,37.95,0.0,0.13
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,37.74,37.64,0.0,0.1
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,48.83,48.71,0.0,0.12
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,54.67,54.57,0.0,0.1
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,50.41,50.3,0.0,0.11
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,45.14,45.08,0.0,0.06
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,44.04,44.0,0.0,0.04
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,43.43,43.32,0.0,0.11
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,37.65,37.55,0.0,0.1
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,40.9,40.83,0.0,0.07
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,41.56,41.45,0.0,0.11
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,37.3,37.18,0.0,0.12
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,36.41,36.28,0.0,0.13
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,35.33,35.2,0.0,0.13
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,36.59,36.44,0.0,0.15
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,46.91,46.72,0.0,0.19
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,49.19,48.98,0.0,0.21
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,61.44,61.17,0.0,0.27
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,59.71,59.44,0.0,0.27
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,52.23,52.08,0.0,0.15
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,55.03,54.84,0.0,0.19
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,53.0,52.79,0.0,0.21
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,52.24,52.03,0.0,0.21
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,59.15,58.92,0.0,0.23
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,62.44,62.19,0.0,0.25
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,62.6,62.43,0.0,0.17
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,69.49,69.29,0.0,0.2
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,69.86,69.76,0.0,0.1
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,69.75,69.6,0.02,0.13
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,69.83,69.71,0.02,0.1
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,69.53,69.37,0.0,0.16
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,64.07,63.84,0.0,0.23
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,55.42,55.19,0.0,0.23
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,58.39,58.12,0.01,0.26
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,58.95,58.57,0.04,0.34
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,60.25,59.82,0.04,0.39
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,54.62,54.27,0.03,0.32
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,54.16,53.8,0.03,0.33
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,58.74,58.32,0.04,0.38
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,69.74,69.27,0.06,0.41
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,70.03,69.67,0.05,0.31
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,75.8,75.39,0.04,0.37
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,70.38,70.04,0.03,0.31
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,69.46,69.21,0.03,0.22
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,69.69,69.47,0.03,0.19
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,69.9,69.67,0.03,0.2
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,70.02,69.78,0.04,0.2
2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,70.29,70.0,0.02,0.27
2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,74.68,74.37,0.01,0.3
2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,84.48,83.96,0.03,0.49
2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,90.0,89.43,0.03,0.54
2025-01-03 22:00:00+00:00,2025-01-03 23:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,105.16,104.53,0.04,0.59
2025-01-03 23:00:00+00:00,2025-01-04 00:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,94.08,93.55,0.01,0.52
2025-01-04 00:00:00+00:00,2025-01-04 01:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,84.37,83.9,0.01,0.46
2025-01-04 01:00:00+00:00,2025-01-04 02:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,82.68,82.22,0.01,0.45
2025-01-04 02:00:00+00:00,2025-01-04 03:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,78.01,77.56,0.0,0.45
2025-01-04 03:00:00+00:00,2025-01-04 04:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,77.69,77.25,0.0,0.44
2025-01-04 04:00:00+00:00,2025-01-04 05:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,75.34,74.96,0.0,0.38
2025-01-04 05:00:00+00:00,2025-01-04 06:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,82.85,82.3,0.0,0.55
2025-01-04 06:00:00+00:00,2025-01-04 07:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,82.27,81.72,0.0,0.55
2025-01-04 07:00:00+00:00,2025-01-04 08:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,77.08,76.6,0.0,0.48
2025-01-04 08:00:00+00:00,2025-01-04 09:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,82.38,81.87,0.0,0.51
2025-01-04 09:00:00+00:00,2025-01-04 10:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,95.33,94.76,0.0,0.57
2025-01-04 10:00:00+00:00,2025-01-04 11:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,103.56,103.07,0.0,0.49
2025-01-04 11:00:00+00:00,2025-01-04 12:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,73.82,73.65,0.0,0.17
2025-01-04 12:00:00+00:00,2025-01-04 13:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,74.91,74.68,0.0,0.23
2025-01-04 13:00:00+00:00,2025-01-04 14:00:00+00:00,DAY_AHEAD_HOURLY,.H.INTERNAL_HUB,HUB,80.25,80.04,0.0,0.21
