interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,37.72,37.95,0.0,-0.23
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,37.54,37.64,0.0,-0.1
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,48.84,48.71,0.0,0.13
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,54.43,54.57,0.0,-0.14
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,50.16,50.3,0.0,-0.14
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,45.31,45.08,0.0,0.23
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,44.33,44.0,0.0,0.33
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,43.42,43.32,0.0,0.1
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,37.55,37.55,0.0,0.0
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,41.31,40.83,0.0,0.48
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,41.67,41.45,0.0,0.22
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,37.16,37.18,0.0,-0.02
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,36.09,36.28,0.0,-0.19
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,34.96,35.2,0.0,-0.24
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,36.16,36.44,0.0,-0.28
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,46.42,46.72,0.0,-0.3
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,48.65,48.98,0.0,-0.33
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,60.5,61.17,0.0,-0.67
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,58.53,59.44,0.0,-0.91
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,51.47,52.08,0.0,-0.61
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,54.02,54.84,0.0,-0.82
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,51.9,52.79,0.0,-0.89
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,51.14,52.03,0.0,-0.89
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,57.93,58.92,0.0,-0.99
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,61.26,62.19,0.0,-0.93
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,61.95,62.43,0.0,-0.48
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,68.74,69.29,0.0,-0.55
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.MAINE,LOAD ZONE,68.95,69.76,0.0,-0.81
