interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEMASSBOST,LOAD ZONE,38.7,37.95,0.0,0.75
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEMASSBOST,LOAD ZONE,38.36,37.64,0.0,0.72
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEMASSBOST,LOAD ZONE,49.72,48.71,0.0,1.01
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEMASSBOST,LOAD ZONE,55.72,54.57,0.0,1.15
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEMASSBOST,LOAD ZONE,51.34,50.3,0.0,1.04
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEMASSBOST,LOAD ZONE,45.99,45.08,0.0,0.91
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEMASSBOST,LOAD ZONE,44.89,44.0,0.0,0.89
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEMASSBOST,LOAD ZONE,44.21,43.32,0.0,0.89
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEMASSBOST,LOAD ZONE,38.27,37.55,0.0,0.72
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEMASSBOST,LOAD ZONE,41.63,40.83,0.0,0.8
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEMASSBOST,LOAD ZONE,42.19,41.45,0.0,0.74
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEMASSBOST,LOAD ZONE,37.8,37.18,0.0,0.62
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEMASSBOST,LOAD ZONE,36.83,36.28,0.0,0.55
