interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,38.61,37.95,0.0,0.66
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,38.32,37.64,0.0,0.68
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,49.6,48.71,0.0,0.89
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,55.51,54.57,0.0,0.94
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,51.09,50.3,0.0,0.79
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,45.87,45.08,0.0,0.79
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,44.92,44.0,0.0,0.92
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,44.02,43.32,0.0,0.7
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,38.03,37.55,0.0,0.48
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,41.38,40.83,0.0,0.55
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,41.96,41.45,0.0,0.51
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,37.53,37.18,0.0,0.35
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,36.57,36.28,0.0,0.29
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,35.45,35.2,0.0,0.25
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,36.73,36.44,0.0,0.29
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,47.23,46.72,0.0,0.51
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,.Z.NEWHAMPSHIRE,LOAD ZONE,49.69,48.98,0.0,0.71
