interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.SEMASS,LOAD ZONE,38.51,37.95,0.0,0.56
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.SEMASS,LOAD ZONE,38.12,37.64,0.0,0.48
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.SEMASS,LOAD ZONE,49.4,48.71,0.0,0.69
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.SEMASS,LOAD ZONE,55.41,54.57,0.0,0.84
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,.Z.SEMASS,LOAD ZONE,51.07,50.3,0.0,0.77
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,.Z.SEMASS,LOAD ZONE,45.71,45.08,0.0,0.63
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,.Z.SEMASS,LOAD ZONE,44.59,44.0,0.0,0.59
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,.Z.SEMASS,LOAD ZONE,44.02,43.32,0.0,0.7
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,.Z.SEMASS,LOAD ZONE,38.06,37.55,0.0,0.51
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,.Z.SEMASS,LOAD ZONE,41.38,40.83,0.0,0.55
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,.Z.SEMASS,LOAD ZONE,42.06,41.45,0.0,0.61
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,.Z.SEMASS,LOAD ZONE,37.72,37.18,0.0,0.54
