interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,38.2,37.95,0.0,0.25
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,37.9,37.64,0.0,0.26
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,47.78,48.71,0.0,-0.93
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,53.74,54.57,0.0,-0.83
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,49.47,50.3,0.0,-0.83
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,44.9,45.08,0.0,-0.18
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,44.12,44.0,0.0,0.12
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,43.24,43.32,0.0,-0.08
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,37.43,37.55,0.0,-0.12
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,40.04,40.83,0.0,-0.79
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,40.93,41.45,0.0,-0.52
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,36.66,37.18,0.0,-0.52
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,35.81,36.28,0.0,-0.47
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,34.73,35.2,0.0,-0.47
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,35.94,36.44,0.0,-0.5
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,.Z.VERMONT,LOAD ZONE,46.19,46.72,0.0,-0.53
