interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,23.59,24.47,0.09,-0.97
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,27.91,28.81,0.17,-1.07
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,31.81,37.42,-4.1,-1.51
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,44.46,47.07,-0.49,-2.12
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,36.37,39.26,-1.37,-1.52
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,35.92,38.47,-1.07,-1.48
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,35.76,38.01,-0.91,-1.34
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,34.6,35.95,-0.67,-0.68
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,31.85,35.11,-2.32,-0.94
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,26.87,31.3,-3.6,-0.83
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,25.84,30.21,-4.09,-0.28
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,26.87,29.970000000000002,-2.82,-0.28
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,27.3,29.200000000000003,-1.62,-0.28
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,27.88,29.71,-1.55,-0.28
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,29.67,32.14,-1.72,-0.75
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,34.96,36.92,-1.25,-0.71
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,53.0,55.010000000000005,-0.52,-1.49
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,54.08,57.08,-1.49,-1.51
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,ARKANSAS.HUB,Hub,43.12,46.949999999999996,-1.4,-2.43
