interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,23.12,24.470000000000002,-0.34,-1.01
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,27.02,28.810000000000002,-0.51,-1.28
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,35.47,37.42,-0.56,-1.39
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,44.16,47.06999999999999,-1.0,-1.91
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,36.89,39.26,-2.0,-0.37
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,36.16,38.47,-1.95,-0.36
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,35.69,38.01,-1.95,-0.37
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,32.81,35.95,-0.76,-2.38
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,33.06,35.11,-0.9,-1.15
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,29.72,31.299999999999997,0.0,-1.58
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,29.13,30.21,0.0,-1.08
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,28.9,29.97,0.0,-1.07
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,28.15,29.2,0.0,-1.05
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,28.65,29.709999999999997,0.0,-1.06
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,ILLINOIS.HUB,Hub,31.04,32.14,0.0,-1.1
