interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,25.04,24.47,-0.38,0.95
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,29.17,28.810000000000002,-0.57,0.93
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,37.99,37.42,-0.63,1.2
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,46.83,47.06999999999999,-1.12,0.88
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,38.13,39.260000000000005,-2.24,1.11
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,37.38,38.47,-2.19,1.1
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,37.28,38.01,-2.18,1.45
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,34.72,35.95,-1.13,-0.1
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,34.65,35.11,-0.9,0.44
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,30.74,31.299999999999997,0.0,-0.56
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,29.96,30.21,0.0,-0.25
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,29.72,29.97,0.0,-0.25
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,28.96,29.2,0.0,-0.24
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,29.47,29.709999999999997,0.0,-0.24
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,32.66,32.13999999999999,0.0,0.52
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,37.05,36.919999999999995,-0.76,0.89
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,51.63,55.010000000000005,-3.91,0.53
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,54.9,57.08,-2.31,0.13
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,44.44,46.95,-1.81,-0.7
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,39.16,41.209999999999994,-1.44,-0.61
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,35.36,37.330000000000005,-1.38,-0.59
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,34.26,34.57,0.0,-0.31
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,30.85,31.450000000000003,-0.3,-0.3
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,29.96,29.98,0.0,-0.02
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,29.63,29.369999999999997,0.0,0.26
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,31.25,31.17,0.0,0.08
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,38.84,39.230000000000004,-0.26,-0.13
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,40.24,40.97,-1.15,0.42
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,34.87,35.54,-1.02,0.35
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,34.23,33.43,-0.95,1.75
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,32.76,32.5,-1.2,1.46
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,31.31,30.13,0.37,0.81
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,28.68,28.009999999999998,-0.02,0.69
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,27.31,25.56,0.54,1.21
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,26.63,24.839999999999996,0.87,0.92
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,26.18,24.459999999999997,0.92,0.8
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,25.59,23.82,0.8,0.97
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,26.22,24.439999999999998,0.8,0.98
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,28.74,26.52,1.06,1.16
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,33.58,30.88,1.19,1.51
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,40.17,38.18,0.29,1.7
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,40.83,38.8,0.0,2.03
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,36.51,34.699999999999996,0.0,1.81
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,31.89,30.310000000000002,0.0,1.58
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,30.92,29.330000000000002,0.06,1.53
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,29.57,27.93,0.19,1.45
2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,28.65,26.909999999999997,0.35,1.39
2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,27.41,25.92,0.34,1.15
2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,27.7,26.189999999999998,0.35,1.16
2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,31.32,29.75,0.26,1.31
2025-01-03 22:00:00+00:00,2025-01-03 23:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,43.88,41.72,0.0,2.16
2025-01-03 23:00:00+00:00,2025-01-04 00:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,44.72,43.72,0.0,1.0
2025-01-04 00:00:00+00:00,2025-01-04 01:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,38.05,37.39,0.0,0.66
2025-01-04 01:00:00+00:00,2025-01-04 02:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,35.19,34.839999999999996,0.0,0.35
2025-01-04 02:00:00+00:00,2025-01-04 03:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,34.43,34.089999999999996,0.0,0.34
2025-01-04 03:00:00+00:00,2025-01-04 04:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,32.8,32.29,0.0,0.51
2025-01-04 04:00:00+00:00,2025-01-04 05:00:00+00:00,DAY_AHEAD_HOURLY,INDIANA.HUB,Hub,33.9,32.57,0.0,1.33
