interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,26.77,24.47,1.98,0.32
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,32.44,28.809999999999995,3.1,0.53
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,37.05,37.42,-0.81,0.44
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,52.55,47.06999999999999,5.42,0.06
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,49.64,39.260000000000005,10.2,0.18
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,48.69,38.47,10.04,0.18
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,47.41,38.01,9.75,-0.35
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,43.19,35.949999999999996,6.71,0.53
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,41.16,35.10999999999999,5.06,0.99
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,29.55,31.3,-3.23,1.48
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,29.66,30.21,-3.67,3.12
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,30.54,29.97,-2.52,3.09
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,30.76,29.200000000000003,-1.44,3.0
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,31.36,29.71,-1.42,3.07
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,30.48,32.14,-1.49,-0.17
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,42.61,36.919999999999995,4.95,0.74
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,78.02,55.00999999999999,23.56,-0.55
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,68.26,57.08000000000001,11.41,-0.23
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,LOUISIANA.HUB,Hub,54.17,46.95,8.65,-1.43
