interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,25.17,24.470000000000002,-0.39,1.09
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,29.02,28.81,-0.59,0.8
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,37.63,37.42,-0.65,0.86
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,46.24,47.07,-1.15,0.32
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,38.17,39.26,-2.29,1.2
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,37.42,38.47,-2.23,1.18
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,36.65,38.01,-2.22,0.86
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,35.02,35.95,-1.14,0.21
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,35.07,35.11,-0.89,0.85
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,29.92,31.3,0.0,-1.38
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,29.25,30.21,0.11,-1.07
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,29.0,29.97,0.1,-1.07
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,28.27,29.2,0.12,-1.05
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,28.77,29.709999999999997,0.12,-1.06
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,31.84,32.14,0.0,-0.3
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,36.63,36.92,-0.75,0.46
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,50.48,55.01,-3.94,-0.59
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,53.71,57.08,-2.32,-1.05
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,42.94,46.95,-1.81,-2.2
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,37.84,41.21,-1.44,-1.93
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,34.12,37.33,-1.38,-1.83
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,34.48,34.57,0.0,-0.09
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,31.05,31.450000000000003,-0.3,-0.1
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,30.54,29.98,0.0,0.56
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,30.29,29.369999999999997,0.0,0.92
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,31.27,31.169999999999998,0.0,0.1
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,38.2,39.230000000000004,-0.27,-0.76
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,39.75,40.97,-1.42,0.2
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,34.43,35.54,-1.28,0.17
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,33.45,33.43000000000001,-1.17,1.19
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,31.98,32.5,-1.44,0.92
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,31.44,30.13,0.26,1.05
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,28.92,28.01,-0.02,0.93
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,27.67,25.560000000000002,1.13,0.98
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,27.11,24.84,1.31,0.96
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,26.49,24.459999999999997,1.34,0.69
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,26.19,23.82,1.32,1.05
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,26.78,24.44,1.27,1.07
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,29.55,26.520000000000003,1.58,1.45
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,34.42,30.88,1.76,1.78
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,39.67,38.18000000000001,0.44,1.05
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,40.17,38.800000000000004,0.0,1.37
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,35.92,34.7,0.0,1.22
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,31.37,30.310000000000002,0.0,1.06
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,30.33,29.33,-0.02,1.02
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,29.0,27.93,0.1,0.97
2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,28.18,26.91,0.34,0.93
2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,26.98,25.92,0.34,0.72
2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,27.22,26.19,0.31,0.72
2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,30.69,29.75,0.12,0.82
2025-01-03 22:00:00+00:00,2025-01-03 23:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,42.74,41.72,-0.44,1.46
2025-01-03 23:00:00+00:00,2025-01-04 00:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,43.94,43.71999999999999,-0.48,0.7
2025-01-04 00:00:00+00:00,2025-01-04 01:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,37.39,37.39,-0.35,0.35
2025-01-04 01:00:00+00:00,2025-01-04 02:00:00+00:00,DAY_AHEAD_HOURLY,MICHIGAN.HUB,Hub,34.8,34.839999999999996,-0.21,0.17
