interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,23.58,24.47,-0.21,-0.68
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,27.83,28.81,-0.43,-0.55
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,36.2,37.42,-0.22,-1.0
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,47.59,47.07000000000001,0.54,-0.02
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,39.79,39.26,1.75,-1.22
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,38.42,38.47,1.13,-1.18
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,38.28,38.010000000000005,0.9,-0.63
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,36.69,35.949999999999996,0.77,-0.03
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,38.57,35.11,4.07,-0.61
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,38.01,31.299999999999997,5.9,0.81
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,36.37,30.209999999999994,6.78,-0.62
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,33.69,29.969999999999995,4.34,-0.62
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,30.67,29.200000000000003,2.08,-0.61
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,31.19,29.71,2.08,-0.6
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,MINN.HUB,Hub,34.52,32.14,2.39,-0.01
