interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,MS.HUB,Hub,24.34,24.47,0.05,-0.18
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,MS.HUB,Hub,28.78,28.810000000000002,0.11,-0.14
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,MS.HUB,Hub,32.93,37.42,-4.15,-0.34
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,MS.HUB,Hub,45.69,47.06999999999999,-0.48,-0.9
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,MS.HUB,Hub,36.89,39.260000000000005,-1.31,-1.06
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,MS.HUB,Hub,36.38,38.47,-1.05,-1.04
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,MS.HUB,Hub,35.88,38.010000000000005,-0.92,-1.21
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,MS.HUB,Hub,34.58,35.949999999999996,-1.0,-0.37
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,MS.HUB,Hub,32.23,35.11,-2.6,-0.28
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,MS.HUB,Hub,27.21,31.3,-3.06,-1.03
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,MS.HUB,Hub,26.25,30.21,-3.48,-0.48
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,MS.HUB,Hub,27.1,29.970000000000002,-2.39,-0.48
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,MS.HUB,Hub,27.36,29.2,-1.37,-0.47
