interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,25.09,24.47,1.08,-0.46
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,30.1,28.810000000000002,1.7,-0.41
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,34.08,37.419999999999995,-2.4,-0.94
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,48.14,47.07,2.58,-1.51
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,43.67,39.260000000000005,4.61,-0.2
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,42.96,38.47,4.68,-0.19
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,42.01,38.01,4.61,-0.61
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,37.26,35.949999999999996,1.21,0.1
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,34.02,35.11000000000001,-1.7,0.61
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,28.45,31.299999999999997,-3.54,0.69
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,27.87,30.21,-4.02,1.68
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,28.87,29.970000000000002,-2.77,1.67
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,29.23,29.2,-1.59,1.62
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,29.83,29.709999999999997,-1.54,1.66
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,30.13,32.14,-1.62,-0.39
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,36.74,36.92,-0.63,0.45
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,65.8,55.00999999999999,11.59,-0.8
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,61.77,57.080000000000005,4.94,-0.25
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,49.4,46.949999999999996,3.61,-1.16
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,TEXAS.HUB,Hub,41.01,41.209999999999994,0.81,-1.01
