interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,38.96,37.04,-0.0,1.92
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,38.79,36.8,-0.0,1.99
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,41.82,39.72,-0.0,2.1
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,53.33,50.5,-0.0,2.83
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,45.86,43.47,-0.0,2.39
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,42.89,40.660000000000004,-0.0,2.23
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,40.35,38.25,-0.0,2.1
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,35.93,34.03,-0.0,1.9
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,33.1,31.41,-0.0,1.69
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,33.13,31.490000000000002,-0.0,1.64
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,36.8,34.919999999999995,-0.0,1.88
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,36.14,34.32,-0.0,1.82
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,33.17,31.53,-0.0,1.64
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,CAPITL,Zone,31.42,29.840000000000003,-0.0,1.58
