interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,35.62,37.029999999999994,-0.0,-1.41
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,35.44,36.8,-0.0,-1.36
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,38.47,39.72,0.02,-1.27
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,51.31,50.510000000000005,2.37,-1.57
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,42.31,43.470000000000006,0.19,-1.35
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,39.28,40.650000000000006,0.01,-1.38
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,36.91,38.25,-0.0,-1.34
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,32.83,34.019999999999996,-0.0,-1.19
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,30.21,31.400000000000002,-0.0,-1.19
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,30.36,31.49,-0.0,-1.13
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,33.87,34.919999999999995,-0.0,-1.05
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,33.4,34.33,-0.0,-0.93
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,30.65,31.529999999999998,-0.0,-0.88
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,28.98,29.85,-0.0,-0.87
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,31.48,32.42,-0.0,-0.94
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,34.7,35.63,-0.0,-0.93
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,37.28,38.160000000000004,-0.0,-0.88
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,40.57,41.61,-0.0,-1.04
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,40.77,41.56,-0.0,-0.79
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,40.73,41.10999999999999,0.52,-0.9
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,41.84,41.86000000000001,1.11,-1.13
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,40.11,40.93,0.33,-1.15
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,39.07,40.07,0.2,-1.2
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,40.5,41.379999999999995,0.24,-1.12
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,40.57,41.11,0.53,-1.07
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,43.57,43.31,1.3,-1.04
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,CENTRL,Zone,51.88,49.550000000000004,3.37,-1.04
