interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,39.4,37.03,-0.0,2.37
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,39.27,36.800000000000004,-0.0,2.47
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,42.58,39.72,-0.0,2.86
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,54.29,50.5,-0.0,3.79
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,46.69,43.47,-0.0,3.22
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,43.71,40.660000000000004,-0.0,3.05
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,41.07,38.24,-0.0,2.83
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,36.5,34.02,-0.0,2.48
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,33.69,31.4,-0.0,2.29
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,33.54,31.49,-0.0,2.05
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,37.04,34.91,-0.0,2.13
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,36.31,34.32,-0.0,1.99
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,33.36,31.53,-0.0,1.83
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,31.63,29.84,-0.0,1.79
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,34.37,32.419999999999995,-0.0,1.95
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,37.8,35.629999999999995,-0.0,2.17
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,41.76,38.16,0.93,2.67
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,49.81,41.6,5.13,3.08
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,49.36,41.56,4.68,3.12
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,47.06,41.12,2.77,3.17
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,46.47,41.87,1.29,3.31
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,45.29,40.919999999999995,1.09,3.28
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,44.01,40.08,0.69,3.24
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,45.54,41.379999999999995,0.77,3.39
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,46.26,41.11,1.78,3.37
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,51.23,43.32,4.36,3.55
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,61.22,49.55,7.41,4.26
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,70.05,55.1,9.99,4.96
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,65.38,55.04,5.55,4.79
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,58.15,49.239999999999995,4.77,4.14
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,55.68,49.04,2.67,3.97
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,50.95,45.85000000000001,1.48,3.62
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,46.52,43.27,-0.0,3.25
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,43.79,41.04,-0.0,2.75
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,44.04,41.39,-0.0,2.65
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,41.87,39.419999999999995,-0.0,2.45
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,41.1,38.77,-0.0,2.33
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,41.83,39.42,-0.0,2.41
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,43.14,40.62,-0.0,2.52
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,49.29,46.54,-0.0,2.75
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,57.5,53.94,-0.0,3.56
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,60.0,54.98,0.68,4.34
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,64.32,55.05,4.65,4.62
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,66.82,54.14999999999999,8.39,4.28
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,59.78,52.5,3.29,3.99
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,59.68,52.25,3.3,4.13
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,58.35,50.84,3.59,3.92
2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,59.9,51.879999999999995,3.77,4.25
2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,64.23,54.980000000000004,4.47,4.78
2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,66.14,55.260000000000005,6.02,4.86
2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,67.28,55.33,6.97,4.98
2025-01-03 22:00:00+00:00,2025-01-03 23:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,82.16,58.61,18.22,5.33
2025-01-03 23:00:00+00:00,2025-01-04 00:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,76.53,57.93000000000001,13.33,5.27
2025-01-04 00:00:00+00:00,2025-01-04 01:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,64.19,55.510000000000005,3.91,4.77
2025-01-04 01:00:00+00:00,2025-01-04 02:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,62.36,55.269999999999996,2.45,4.64
2025-01-04 02:00:00+00:00,2025-01-04 03:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,58.64,54.65,-0.0,3.99
2025-01-04 03:00:00+00:00,2025-01-04 04:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,57.95,54.21,-0.0,3.74
2025-01-04 04:00:00+00:00,2025-01-04 05:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,57.98,54.54,-0.0,3.44
2025-01-04 05:00:00+00:00,2025-01-04 06:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,55.5,51.96,-0.0,3.54
2025-01-04 06:00:00+00:00,2025-01-04 07:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,52.84,49.57,-0.0,3.27
2025-01-04 07:00:00+00:00,2025-01-04 08:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,50.75,47.61,-0.0,3.14
2025-01-04 08:00:00+00:00,2025-01-04 09:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,51.86,48.519999999999996,-0.0,3.34
2025-01-04 09:00:00+00:00,2025-01-04 10:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,52.12,48.76,-0.0,3.36
2025-01-04 10:00:00+00:00,2025-01-04 11:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,53.39,49.93,0.02,3.44
2025-01-04 11:00:00+00:00,2025-01-04 12:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,53.42,49.620000000000005,0.18,3.62
2025-01-04 12:00:00+00:00,2025-01-04 13:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,57.91,53.97,-0.0,3.94
2025-01-04 13:00:00+00:00,2025-01-04 14:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,60.74,54.82,1.92,4.0
2025-01-04 14:00:00+00:00,2025-01-04 15:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,63.04,55.099999999999994,3.53,4.41
2025-01-04 15:00:00+00:00,2025-01-04 16:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,68.84,55.33,8.81,4.7
2025-01-04 16:00:00+00:00,2025-01-04 17:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,71.52,55.38,11.43,4.71
2025-01-04 17:00:00+00:00,2025-01-04 18:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,68.53,55.26,8.63,4.64
2025-01-04 18:00:00+00:00,2025-01-04 19:00:00+00:00,DAY_AHEAD_HOURLY,DUNWOD,Zone,68.88,55.199999999999996,9.04,4.64
