interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,33.51,37.03,-0.0,-3.52
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,33.3,36.8,-0.0,-3.5
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,35.95,39.720000000000006,-0.0,-3.77
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,45.86,50.51,-0.0,-4.65
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,39.48,43.48,-0.0,-4.0
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,36.83,40.65,-0.0,-3.82
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,34.88,38.25,-0.0,-3.37
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,31.09,34.02,-0.0,-2.93
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,28.51,31.400000000000002,-0.0,-2.89
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,28.76,31.5,-0.0,-2.74
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,32.02,34.92,-0.0,-2.9
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,31.78,34.32,-0.0,-2.54
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,29.1,31.53,-0.0,-2.43
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,27.49,29.849999999999998,-0.0,-2.36
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,29.86,32.42,-0.0,-2.56
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,32.99,35.63,-0.0,-2.64
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,35.45,38.160000000000004,-0.0,-2.71
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,38.03,41.61,-0.0,-3.58
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,38.2,41.57,-0.0,-3.37
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,37.64,41.11000000000001,-0.02,-3.45
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,38.39,41.86,-0.0,-3.47
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,37.4,40.92,-0.0,-3.52
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,36.46,40.07,-0.0,-3.61
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,37.86,41.38,-0.0,-3.52
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,GENESE,Zone,37.53,41.11,-0.0,-3.58
