interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,39.14,37.03,-0.0,2.11
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,39.05,36.8,-0.0,2.25
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,42.34,39.720000000000006,-0.0,2.62
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,54.03,50.5,-0.0,3.53
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,46.47,43.47,-0.0,3.0
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,43.42,40.65,-0.0,2.77
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,40.85,38.25,-0.0,2.6
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,36.3,34.019999999999996,-0.0,2.28
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,33.47,31.4,-0.0,2.07
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,33.32,31.490000000000002,-0.0,1.83
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,36.8,34.919999999999995,-0.0,1.88
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,36.14,34.32,-0.0,1.82
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,33.17,31.53,-0.0,1.64
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,31.42,29.840000000000003,-0.0,1.58
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,34.17,32.42,-0.0,1.75
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,37.62,35.629999999999995,-0.0,1.99
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,41.86,38.15,1.15,2.56
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,50.87,41.6,6.4,2.87
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,50.27,41.56,5.8,2.91
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,46.98,41.12,2.94,2.92
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,46.21,41.870000000000005,1.37,2.97
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,45.03,40.92,1.16,2.95
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,43.73,40.06999999999999,0.74,2.92
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,45.22,41.379999999999995,0.82,3.02
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,46.04,41.11,1.89,3.04
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,51.19,43.309999999999995,4.63,3.25
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,61.37,49.54,7.86,3.97
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,70.8,55.1,11.18,4.52
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,65.6,55.05,6.04,4.51
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,59.0,49.25,5.86,3.89
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,55.93,49.04,3.21,3.68
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,51.01,45.85,1.82,3.34
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,46.35,43.28,-0.0,3.07
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,43.63,41.040000000000006,-0.0,2.59
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,43.83,41.39,-0.0,2.44
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,41.71,39.42,-0.0,2.29
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,40.99,38.78,-0.0,2.21
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,41.75,39.42,-0.0,2.33
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,43.01,40.61,-0.0,2.4
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,49.25,46.55,-0.0,2.7
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,57.23,53.94,-0.0,3.29
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,59.48,54.98,0.65,3.85
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,55.88,55.04,-3.23,4.07
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,52.0,54.15,-5.83,3.68
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,53.68,52.51,-2.29,3.46
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,53.46,52.25,-2.29,3.5
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,51.65,50.85,-2.5,3.3
2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,52.89,51.879999999999995,-2.62,3.63
2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,56.0,54.98,-3.11,4.13
2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,55.39,55.269999999999996,-4.19,4.31
2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,66.74,55.31999999999999,6.88,4.54
2025-01-03 22:00:00+00:00,2025-01-03 23:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,81.51,58.61,17.98,4.92
2025-01-03 23:00:00+00:00,2025-01-04 00:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,76.0,57.93,13.15,4.92
2025-01-04 00:00:00+00:00,2025-01-04 01:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,63.74,55.5,3.86,4.38
2025-01-04 01:00:00+00:00,2025-01-04 02:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,62.0,55.269999999999996,2.42,4.31
2025-01-04 02:00:00+00:00,2025-01-04 03:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,58.42,54.65,-0.0,3.77
2025-01-04 03:00:00+00:00,2025-01-04 04:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,57.63,54.21,-0.0,3.42
2025-01-04 04:00:00+00:00,2025-01-04 05:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,57.82,54.55,-0.0,3.27
2025-01-04 05:00:00+00:00,2025-01-04 06:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,55.34,51.96,-0.0,3.38
2025-01-04 06:00:00+00:00,2025-01-04 07:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,52.7,49.580000000000005,-0.0,3.12
2025-01-04 07:00:00+00:00,2025-01-04 08:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,50.61,47.61,-0.0,3.0
2025-01-04 08:00:00+00:00,2025-01-04 09:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,51.67,48.52,-0.0,3.15
2025-01-04 09:00:00+00:00,2025-01-04 10:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,51.93,48.76,-0.0,3.17
2025-01-04 10:00:00+00:00,2025-01-04 11:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,53.19,49.919999999999995,0.03,3.24
2025-01-04 11:00:00+00:00,2025-01-04 12:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,53.14,49.63,0.19,3.32
2025-01-04 12:00:00+00:00,2025-01-04 13:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,57.64,53.97,-0.0,3.67
2025-01-04 13:00:00+00:00,2025-01-04 14:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,60.62,54.82,2.07,3.73
2025-01-04 14:00:00+00:00,2025-01-04 15:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,62.98,55.089999999999996,3.81,4.08
2025-01-04 15:00:00+00:00,2025-01-04 16:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,67.41,55.32999999999999,7.88,4.2
2025-01-04 16:00:00+00:00,2025-01-04 17:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,67.44,55.39,7.84,4.21
2025-01-04 17:00:00+00:00,2025-01-04 18:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,66.72,55.26,7.31,4.15
2025-01-04 18:00:00+00:00,2025-01-04 19:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,66.09,55.2,6.8,4.09
2025-01-04 19:00:00+00:00,2025-01-04 20:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,70.23,55.26,10.88,4.09
2025-01-04 20:00:00+00:00,2025-01-04 21:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,74.67,55.379999999999995,15.03,4.26
2025-01-04 21:00:00+00:00,2025-01-04 22:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,85.85,58.029999999999994,23.18,4.64
2025-01-04 22:00:00+00:00,2025-01-04 23:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,109.73,67.35000000000001,36.72,5.66
2025-01-04 23:00:00+00:00,2025-01-05 00:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,100.85,66.19999999999999,29.22,5.43
2025-01-05 00:00:00+00:00,2025-01-05 01:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,91.02,57.40999999999999,28.96,4.65
2025-01-05 01:00:00+00:00,2025-01-05 02:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,88.49,55.32999999999999,28.96,4.2
2025-01-05 02:00:00+00:00,2025-01-05 03:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,77.92,55.21,18.57,4.14
2025-01-05 03:00:00+00:00,2025-01-05 04:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,73.5,55.1,14.32,4.08
2025-01-05 04:00:00+00:00,2025-01-05 05:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,68.44,54.980000000000004,9.5,3.96
2025-01-05 05:00:00+00:00,2025-01-05 06:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,79.04,73.41000000000001,0.42,5.21
2025-01-05 06:00:00+00:00,2025-01-05 07:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,79.25,73.85000000000001,0.16,5.24
2025-01-05 07:00:00+00:00,2025-01-05 08:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,75.97,67.5,3.88,4.59
2025-01-05 08:00:00+00:00,2025-01-05 09:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,71.51,64.74,2.37,4.4
2025-01-05 09:00:00+00:00,2025-01-05 10:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,71.62,66.94,-0.0,4.68
2025-01-05 10:00:00+00:00,2025-01-05 11:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,71.84,67.21000000000001,-0.0,4.63
2025-01-05 11:00:00+00:00,2025-01-05 12:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,75.86,70.97,-0.0,4.89
2025-01-05 12:00:00+00:00,2025-01-05 13:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,77.28,54.17999999999999,19.2,3.9
2025-01-05 13:00:00+00:00,2025-01-05 14:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,80.19,59.18,16.57,4.44
2025-01-05 14:00:00+00:00,2025-01-05 15:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,81.54,66.56000000000002,9.99,4.99
2025-01-05 15:00:00+00:00,2025-01-05 16:00:00+00:00,DAY_AHEAD_HOURLY,HUD VL,Zone,85.42,74.14,5.94,5.34
