interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,41.78,37.040000000000006,1.48,3.26
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,40.62,36.8,0.44,3.38
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,51.35,39.71,7.86,3.78
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,58.71,50.5,3.26,4.95
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,56.69,43.48,9.04,4.17
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,51.67,40.660000000000004,7.07,3.94
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,43.54,38.25,1.62,3.67
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,38.85,34.02,1.53,3.3
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,34.23,31.4,-0.0,2.83
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,33.64,31.5,-0.0,2.14
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,37.71,34.92,-0.0,2.79
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,36.69,34.32,-0.0,2.37
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,33.7,31.53,-0.0,2.17
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,32.17,29.840000000000003,-0.0,2.33
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,34.66,32.419999999999995,-0.0,2.24
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,38.12,35.629999999999995,-0.0,2.49
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,42.66,38.16,0.95,3.55
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,50.77,41.61,5.25,3.91
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,50.22,41.56999999999999,4.7,3.95
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,47.68,41.12,2.78,3.78
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,47.32,41.86,1.31,4.15
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,46.08,40.92,1.11,4.05
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,44.91,40.06999999999999,0.71,4.13
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,47.83,41.38,2.23,4.22
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,47.06,41.11000000000001,1.8,4.15
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,57.07,43.31,9.43,4.33
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,72.67,49.550000000000004,17.82,5.3
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,74.33,55.099999999999994,13.17,6.06
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,73.79,55.040000000000006,12.86,5.89
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,68.32,49.239999999999995,13.96,5.12
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,64.22,49.04,10.47,4.71
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,62.31,45.84,12.07,4.4
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,47.4,43.28,0.01,4.11
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,44.49,41.04,-0.0,3.45
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,45.25,41.39,0.01,3.85
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,43.06,39.43000000000001,0.01,3.62
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,42.32,38.78,0.01,3.53
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,43.05,39.43,-0.0,3.62
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,LONGIL,Zone,44.39,40.61,-0.0,3.78
