interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,37.81,37.03,-0.0,0.78
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,37.65,36.8,-0.0,0.85
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,40.71,39.72,-0.0,0.99
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,51.86,50.5,-0.0,1.36
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,44.52,43.480000000000004,-0.0,1.04
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,41.55,40.66,-0.0,0.89
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,39.01,38.25,-0.0,0.76
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,34.67,34.03,-0.0,0.64
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,31.97,31.4,-0.0,0.57
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,32.0,31.5,-0.0,0.5
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,35.54,34.91,-0.0,0.63
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,34.94,34.32,-0.0,0.62
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,32.13,31.53,-0.0,0.6
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,30.38,29.84,-0.0,0.54
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,32.98,32.43,-0.0,0.55
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,36.37,35.62,-0.0,0.75
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,39.78,38.15,0.56,1.07
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,46.53,41.61000000000001,3.3,1.62
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,46.23,41.56,3.05,1.62
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,43.63,41.120000000000005,1.11,1.4
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,43.77,41.87,0.52,1.38
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,42.63,40.92,0.44,1.27
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,41.55,40.06999999999999,0.28,1.2
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,43.01,41.379999999999995,0.31,1.32
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,43.17,41.11,0.71,1.35
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,46.7,43.300000000000004,1.75,1.65
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,54.6,49.550000000000004,2.97,2.08
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,61.54,55.11,4.56,1.87
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,59.07,55.04,2.32,1.71
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,53.66,49.239999999999995,2.84,1.58
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,52.01,49.04,1.5,1.47
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,48.06,45.85,0.88,1.33
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,44.44,43.269999999999996,-0.0,1.17
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,42.07,41.04,-0.0,1.03
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,42.3,41.39,-0.0,0.91
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,40.37,39.43,-0.0,0.94
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,39.59,38.77,-0.0,0.82
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,40.33,39.42,-0.0,0.91
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,41.55,40.62,-0.0,0.93
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,47.8,46.54,-0.0,1.26
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,55.67,53.940000000000005,-0.0,1.73
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,57.72,54.99,0.15,2.58
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,56.9,55.04,-0.62,2.48
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,DAY_AHEAD_HOURLY,MHK VL,Zone,55.2,54.14,-1.11,2.17
