interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,39.29,37.03,-0.0,2.26
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,39.19,36.8,-0.0,2.39
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,42.5,39.72,-0.0,2.78
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,54.19,50.51,-0.0,3.68
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,46.65,43.48,-0.0,3.17
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,43.66,40.65,-0.0,3.01
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,41.0,38.24,-0.0,2.76
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,36.44,34.019999999999996,-0.0,2.42
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,33.6,31.400000000000002,-0.0,2.2
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,33.42,31.5,-0.0,1.92
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,36.97,34.91,-0.0,2.06
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,36.28,34.32,-0.0,1.96
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,33.32,31.52,-0.0,1.8
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,31.6,29.84,-0.0,1.76
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,34.34,32.43000000000001,-0.0,1.91
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,37.8,35.629999999999995,-0.0,2.17
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,41.78,38.15,0.96,2.67
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,49.88,41.6,5.24,3.04
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,49.46,41.56,4.78,3.12
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,47.01,41.11,2.81,3.09
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,46.4,41.87,1.31,3.22
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,45.22,40.92,1.11,3.19
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,43.94,40.08,0.7,3.16
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,45.43,41.379999999999995,0.78,3.27
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,46.2,41.1,1.81,3.29
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,51.2,43.31,4.42,3.47
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,61.22,49.550000000000004,7.51,4.16
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,70.16,55.099999999999994,10.16,4.9
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,65.36,55.04,5.64,4.68
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,58.2,49.25000000000001,4.87,4.08
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,55.69,49.04,2.72,3.93
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,50.94,45.85,1.51,3.58
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,46.52,43.27,-0.0,3.25
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,43.79,41.04,-0.0,2.75
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,44.0,41.39,-0.0,2.61
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,MILLWD,Zone,41.83,39.42,-0.0,2.41
