interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,37.59,37.03,-0.0,0.56
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,37.17,36.800000000000004,-0.0,0.37
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,39.92,39.72,-0.0,0.2
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,50.55,50.5,-0.0,0.05
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,43.56,43.47,-0.0,0.09
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,40.82,40.660000000000004,-0.0,0.16
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,38.32,38.24,-0.0,0.08
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,34.02,34.02,-0.0,0.0
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,31.43,31.4,-0.0,0.03
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,31.72,31.5,-0.0,0.22
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,34.98,34.91,-0.0,0.07
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,34.32,34.32,-0.0,0.0
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,31.5,31.53,-0.0,-0.03
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,29.78,29.84,-0.0,-0.06
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,32.36,32.42,-0.0,-0.06
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,35.59,35.63,-0.0,-0.04
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,37.81,38.150000000000006,-0.0,-0.34
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,41.4,41.61,-0.0,-0.21
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,41.23,41.559999999999995,-0.0,-0.33
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,40.87,41.12,-0.0,-0.25
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,41.53,41.870000000000005,-0.0,-0.34
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,40.64,40.92,-0.0,-0.28
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,39.79,40.07,-0.0,-0.28
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,41.01,41.379999999999995,-0.0,-0.37
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,40.61,41.1,-0.0,-0.49
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,42.7,43.31,-0.0,-0.61
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,48.66,49.55,-0.0,-0.89
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,NORTH,Zone,54.05,55.099999999999994,-0.0,-1.05
