interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,31.7,37.03,-0.0,-5.33
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,31.5,36.8,-0.0,-5.3
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,34.31,39.72,-0.05,-5.36
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,39.45,50.5,-4.44,-6.61
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,37.29,43.47,-0.36,-5.82
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,35.08,40.66,-0.01,-5.57
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,33.01,38.25,-0.0,-5.24
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,29.67,34.02,-0.0,-4.35
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,27.13,31.4,-0.0,-4.27
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,27.53,31.5,-0.0,-3.97
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,30.76,34.92,-0.0,-4.16
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,30.68,34.32,-0.0,-3.64
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,28.03,31.53,-0.0,-3.5
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,26.44,29.84,-0.0,-3.4
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,WEST,Zone,28.79,32.42,-0.0,-3.63
