interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,23.691925,22.75,0.19,0.751925
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,24.451535,23.47,0.1,0.881535
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,27.705767,26.56,-0.06,1.205767
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,34.281031,32.58,-0.33,2.031031
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,34.072148,32.48,-0.387117,1.979265
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,33.486966,32.22,-0.43,1.696966
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,33.232165,32.08,-0.33,1.482165
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,30.598486,30.04,-0.31,0.868486
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,29.946843,29.6,-0.080653,0.427496
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,27.811361,27.7,-0.16,0.271361
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,24.203584,25.11,-1.276046,0.36963
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,22.837356,23.79,-1.199138,0.246494
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,22.529509,23.58,-1.145553,0.095062
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,22.529711,23.67,-1.104818,-0.035471
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,23.128718,25.05,-1.753017,-0.168265
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,23.471937,28.33,-4.774336,-0.083727
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,AECO,51291,AECO,ZONE,30.555669,37.16,-6.479396,-0.124935
