interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,22.649231,22.75,0.2354,-0.336169
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,23.255413,23.47,0.212292,-0.426879
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,26.177446,26.56,0.205166,-0.58772
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,31.737477,32.58,0.121976,-0.964499
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,31.697095,32.48,0.118811,-0.901716
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,31.393533,32.22,0.053141,-0.879608
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,31.331653,32.08,-0.02,-0.728347
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,29.62259,30.04,-0.02,-0.39741
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,29.383503,29.6,-0.02,-0.196497
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,27.51869,27.7,-0.005557,-0.175753
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,24.873702,25.11,0.124591,-0.360889
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,23.584053,23.79,0.113583,-0.31953
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,23.420001,23.58,0.105539,-0.265538
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,23.564728,23.67,0.097256,-0.202528
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,25.069357,25.05,0.164952,-0.145595
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,28.592736,28.33,0.466691,-0.203955
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,37.587673,37.16,0.720487,-0.292814
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,46.194809,45.92,0.925892,-0.651083
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,37.561768,37.46,0.482819,-0.381051
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,34.162827,34.22,0.249249,-0.306422
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,AEP-DAYTON HUB,34497127,AEP-DAYTON HUB,HUB,32.654069,33.25,-0.23195,-0.363981
