interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,23.112105,22.75,0.179207,0.182898
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,23.940523,23.47,0.22375,0.246773
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,27.191666,26.56,0.336217,0.295449
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,33.285292,32.58,0.372879,0.332413
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,33.065382,32.48,0.277291,0.308091
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,32.890138,32.22,0.333433,0.336705
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,32.573854,32.08,0.23477,0.259084
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,30.398589,30.04,0.218932,0.139657
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,29.605111,29.6,-0.00028,0.005391
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,27.837249,27.7,0.102409,0.03484
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,25.431838,25.11,0.155387,0.166451
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,24.092659,23.79,0.143464,0.159195
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,23.882538,23.58,0.134088,0.16845
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,23.947651,23.67,0.126954,0.150697
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,25.423165,25.05,0.240289,0.132876
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,29.458911,28.33,0.998111,0.1308
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,38.822924,37.16,1.435109,0.227815
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,47.609253,45.92,1.250369,0.438884
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,38.638872,37.46,0.82489,0.353982
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,34.847698,34.22,0.332654,0.295044
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,33.900246,33.25,0.262289,0.387957
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,32.679366,32.12,0.142626,0.41674
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,30.156497,29.61,0.11539,0.431107
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,29.84343,29.36,0.029713,0.453717
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,29.701315,29.3,-0.059581,0.460896
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,29.834462,29.36,-0.033278,0.50774
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,37.599313,36.95,0.017219,0.632094
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,52.69988,52.04,0.014304,0.645576
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,44.573489,44.13,0.068727,0.374762
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,39.846861,39.27,0.266902,0.309959
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,39.230504,38.57,0.331875,0.328629
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,37.815709,37.34,0.221417,0.254292
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,34.912763,34.39,0.302436,0.220327
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,32.28447,31.49,0.441119,0.353351
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,29.7188,28.73,0.737002,0.251798
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,29.695581,28.45,0.998839,0.246742
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,29.037473,27.6,1.192998,0.244475
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,29.119361,27.58,1.287751,0.25161
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,29.436288,27.78,1.416006,0.240282
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,31.440357,29.86,1.334528,0.245829
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,38.560806,37.02,1.315524,0.225282
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,43.460089,42.25,1.154475,0.055614
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,39.12678,37.95,1.262071,-0.085291
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,34.301826,33.38,0.912707,0.009119
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,32.761866,32.49,0.339988,-0.068122
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,31.195364,30.93,0.240368,0.024996
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,29.549082,29.36,0.142386,0.046696
2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,28.547396,28.21,0.267627,0.069769
2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,28.196415,27.74,0.309703,0.146712
2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,30.061308,29.39,0.552054,0.119254
2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,33.051967,32.5,0.433276,0.118691
2025-01-03 22:00:00+00:00,2025-01-03 23:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,41.760237,41.36,0.270731,0.129506
2025-01-03 23:00:00+00:00,2025-01-04 00:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,40.073711,39.84,0.141627,0.092084
2025-01-04 00:00:00+00:00,2025-01-04 01:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,37.722116,37.62,0.024002,0.078114
2025-01-04 01:00:00+00:00,2025-01-04 02:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,37.15275,37.0,0.060757,0.091993
2025-01-04 02:00:00+00:00,2025-01-04 03:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,35.864986,35.56,0.108104,0.196882
2025-01-04 03:00:00+00:00,2025-01-04 04:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,34.311919,33.95,0.14137,0.220549
2025-01-04 04:00:00+00:00,2025-01-04 05:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,32.448075,31.87,0.206629,0.371446
2025-01-04 05:00:00+00:00,2025-01-04 06:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,35.717685,34.4,0.81899,0.498695
2025-01-04 06:00:00+00:00,2025-01-04 07:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,35.918765,34.07,1.296882,0.551883
2025-01-04 07:00:00+00:00,2025-01-04 08:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,35.698098,33.57,1.546062,0.582036
2025-01-04 08:00:00+00:00,2025-01-04 09:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,36.448351,34.15,1.662707,0.635644
2025-01-04 09:00:00+00:00,2025-01-04 10:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,36.965232,35.02,1.283787,0.661445
2025-01-04 10:00:00+00:00,2025-01-04 11:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,36.760089,34.83,1.347474,0.582615
2025-01-04 11:00:00+00:00,2025-01-04 12:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,41.57956,39.18,1.841939,0.557621
2025-01-04 12:00:00+00:00,2025-01-04 13:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,46.693424,45.52,0.453421,0.720003
2025-01-04 13:00:00+00:00,2025-01-04 14:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,42.596362,41.29,0.586892,0.71947
2025-01-04 14:00:00+00:00,2025-01-04 15:00:00+00:00,DAY_AHEAD_HOURLY,APS,8394954,APS,ZONE,37.421656,36.08,0.733734,0.607922
