interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,22.808636,22.75,0.229773,-0.171137
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,23.408864,23.47,0.211364,-0.2725
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,26.484545,26.56,0.228636,-0.304091
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,32.058636,32.58,-0.101364,-0.42
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,31.593636,32.48,-0.325227,-0.561137
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,31.455227,32.22,-0.1475,-0.617273
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,31.562955,32.08,0.037955,-0.555
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,29.633864,30.04,0.031136,-0.437272
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,29.337045,29.6,0.03,-0.292955
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,27.619091,27.7,0.037955,-0.118864
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,24.928182,25.11,0.069091,-0.250909
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,23.571591,23.79,0.061591,-0.28
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,23.439545,23.58,0.059545,-0.2
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,23.542045,23.67,0.058182,-0.186137
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,ATSI GEN HUB,116013751,ATSI GEN HUB,HUB,24.822273,25.05,0.050455,-0.278182
