interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,ATSI,116013753,ATSI,ZONE,23.12162,22.75,0.223294,0.148326
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,ATSI,116013753,ATSI,ZONE,23.734559,23.47,0.211274,0.053285
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,ATSI,116013753,ATSI,ZONE,26.879999,26.56,0.245088,0.074911
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,ATSI,116013753,ATSI,ZONE,32.628789,32.58,-0.023123,0.071912
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,ATSI,116013753,ATSI,ZONE,32.178259,32.48,-0.185192,-0.116549
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,ATSI,116013753,ATSI,ZONE,31.979985,32.22,-0.056079,-0.183936
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,ATSI,116013753,ATSI,ZONE,31.995974,32.08,0.079703,-0.163729
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,ATSI,116013753,ATSI,ZONE,30.004086,30.04,0.067797,-0.103711
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,ATSI,116013753,ATSI,ZONE,29.649405,29.6,0.070244,-0.020839
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,ATSI,116013753,ATSI,ZONE,27.910486,27.7,0.070672,0.139814
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,ATSI,116013753,ATSI,ZONE,25.181082,25.11,0.056055,0.015027
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,ATSI,116013753,ATSI,ZONE,23.802353,23.79,0.046946,-0.034593
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,ATSI,116013753,ATSI,ZONE,23.669281,23.58,0.048938,0.040343
