interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,20.071277,22.75,-1.458354,-1.220369
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,20.725692,23.47,-1.33791,-1.406398
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,23.319233,26.56,-1.396947,-1.84382
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,29.733574,32.58,-0.48554,-2.360886
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,30.300314,32.48,-0.03,-2.149686
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,30.061455,32.22,-0.02,-2.138545
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,30.13704,32.08,-0.02,-1.92296
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,28.641884,30.04,-0.02,-1.378116
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,28.659395,29.6,-0.02,-0.920605
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,26.727424,27.7,-0.108815,-0.863761
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,24.089469,25.11,0.118711,-1.139242
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,22.910431,23.79,0.108711,-0.98828
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,22.660224,23.58,0.1,-1.019776
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,22.805172,23.67,0.09,-0.954828
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,24.281854,25.05,0.151556,-0.919702
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,27.701558,28.33,0.43723,-1.065672
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,36.334951,37.16,0.623348,-1.448397
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,44.056389,45.92,0.417155,-2.280766
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,36.243766,37.46,0.328993,-1.545227
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,33.033662,34.22,0.169822,-1.35616
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,31.353825,33.25,-0.290548,-1.605627
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,30.154596,32.12,-0.309911,-1.655493
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,27.69584,29.61,-0.236459,-1.677701
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,27.327292,29.36,-0.248326,-1.784382
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,27.346862,29.3,-0.1,-1.853138
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,27.365796,29.36,-0.04,-1.954204
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,CHICAGO HUB,33092313,CHICAGO HUB,HUB,34.089989,36.95,-0.03,-2.830011
