interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,19.981342,22.75,-1.472917,-1.295741
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,20.627814,23.47,-1.360006,-1.48218
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,23.227449,26.56,-1.407999,-1.924552
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,29.647708,32.58,-0.474553,-2.457739
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,30.200177,32.48,-0.03,-2.249823
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,29.964789,32.22,-0.02,-2.235211
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,30.034688,32.08,-0.02,-2.025312
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,28.541643,30.04,-0.02,-1.478357
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,28.555916,29.6,-0.02,-1.024084
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,26.63113,27.7,-0.106447,-0.962423
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,24.005917,25.11,0.117868,-1.221951
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,22.825916,23.79,0.107841,-1.071925
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,22.581096,23.58,0.100075,-1.098979
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,22.726288,23.67,0.090242,-1.033954
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,COMED,33092371,COMED,ZONE,24.198724,25.05,0.151911,-1.003187
