interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,23.973791,22.75,0.19,1.033791
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,24.81315,23.47,0.1,1.24315
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,28.148571,26.56,-0.049589,1.63816
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,34.868665,32.58,-0.315503,2.604168
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,34.65992,32.48,-0.370639,2.550559
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,34.09876,32.22,-0.408896,2.287656
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,33.806885,32.08,-0.319326,2.046211
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,30.924825,30.04,-0.288236,1.173061
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,30.340963,29.6,-0.070092,0.811055
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,28.105989,27.7,-0.150683,0.556672
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,24.317132,25.11,-1.332899,0.540031
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,22.990605,23.79,-1.253885,0.45449
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,22.723004,23.58,-1.194588,0.337592
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,22.678863,23.67,-1.152899,0.161762
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,23.205338,25.05,-1.831115,-0.013547
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,23.54502,28.33,-4.951557,0.166577
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,32.441253,37.16,-5.103153,0.384406
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,43.463828,45.92,-3.287148,0.830976
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,34.83564,37.46,-3.225651,0.601291
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,33.280791,34.22,-1.486399,0.54719
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,33.642529,33.25,-0.078692,0.471221
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,32.784988,32.12,0.150744,0.514244
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,30.259661,29.61,0.080716,0.568945
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,30.190505,29.36,0.160416,0.670089
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,30.261185,29.3,0.030536,0.930649
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,30.151484,29.36,-0.088671,0.880155
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,38.763174,36.95,-0.11,1.923174
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,56.020984,52.04,0.340688,3.640296
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,47.670324,44.13,1.547983,1.992341
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,41.197303,39.27,-0.169871,2.097174
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,40.987703,38.57,0.133305,2.284398
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,41.173367,37.34,1.614995,2.218372
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,36.929112,34.39,0.677686,1.861426
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,33.540629,31.49,0.49,1.560629
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,30.791171,28.73,0.77,1.291171
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,30.640404,28.45,1.03,1.160404
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,29.850536,27.6,1.21,1.040536
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,29.984313,27.58,1.3,1.104313
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,30.327635,27.78,1.42,1.127635
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,32.618202,29.86,1.35,1.408202
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,49.997159,37.02,10.364973,2.612186
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,60.387699,42.25,14.675092,3.462607
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,45.683283,37.95,5.431611,2.301672
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,36.099366,33.38,0.869804,1.849562
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,34.631816,32.49,0.4,1.741816
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,33.229296,30.93,0.631103,1.668193
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,31.711206,29.36,0.779819,1.571387
2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,30.928962,28.21,1.148444,1.570518
2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,30.409978,27.74,1.034008,1.63597
2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,31.823268,29.39,0.72,1.713268
2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,35.480813,32.5,0.56,2.420813
2025-01-03 22:00:00+00:00,2025-01-03 23:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,48.513561,41.36,3.716549,3.437012
2025-01-03 23:00:00+00:00,2025-01-04 00:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,46.304609,39.84,3.190954,3.273655
2025-01-04 00:00:00+00:00,2025-01-04 01:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,43.772123,37.62,3.420161,2.731962
2025-01-04 01:00:00+00:00,2025-01-04 02:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,41.385481,37.0,1.559006,2.826475
2025-01-04 02:00:00+00:00,2025-01-04 03:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,38.579003,35.56,0.21,2.809003
2025-01-04 03:00:00+00:00,2025-01-04 04:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,36.714116,33.95,0.22,2.544116
2025-01-04 04:00:00+00:00,2025-01-04 05:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,35.034605,31.87,0.29,2.874605
2025-01-04 05:00:00+00:00,2025-01-04 06:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,36.598812,34.4,-0.170036,2.368848
2025-01-04 06:00:00+00:00,2025-01-04 07:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,35.989131,34.07,-0.351917,2.271048
2025-01-04 07:00:00+00:00,2025-01-04 08:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,35.55549,33.57,-0.290305,2.275795
2025-01-04 08:00:00+00:00,2025-01-04 09:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,35.767516,34.15,-0.730821,2.348337
2025-01-04 09:00:00+00:00,2025-01-04 10:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,36.717413,35.02,-0.702569,2.399982
2025-01-04 10:00:00+00:00,2025-01-04 11:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,36.608219,34.83,-0.892104,2.670323
2025-01-04 11:00:00+00:00,2025-01-04 12:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,41.455457,39.18,-1.286294,3.561751
2025-01-04 12:00:00+00:00,2025-01-04 13:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,50.208963,45.52,-0.192467,4.88143
2025-01-04 13:00:00+00:00,2025-01-04 14:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,44.497824,41.29,-0.543612,3.751436
2025-01-04 14:00:00+00:00,2025-01-04 15:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,38.68399,36.08,-0.048451,2.652441
2025-01-04 15:00:00+00:00,2025-01-04 16:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,39.114099,35.82,0.45682,2.837279
2025-01-04 16:00:00+00:00,2025-01-04 17:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,38.227687,35.05,0.388966,2.788721
2025-01-04 17:00:00+00:00,2025-01-04 18:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,37.150515,34.03,0.487659,2.632856
2025-01-04 18:00:00+00:00,2025-01-04 19:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,35.85197,32.34,0.852425,2.659545
2025-01-04 19:00:00+00:00,2025-01-04 20:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,34.816749,31.36,0.93171,2.525039
2025-01-04 20:00:00+00:00,2025-01-04 21:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,36.005235,32.61,0.770566,2.624669
2025-01-04 21:00:00+00:00,2025-01-04 22:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,45.534816,40.03,1.720877,3.783939
2025-01-04 22:00:00+00:00,2025-01-04 23:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,68.681839,52.26,10.920748,5.501091
2025-01-04 23:00:00+00:00,2025-01-05 00:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,56.771801,47.24,4.999301,4.5325
2025-01-05 00:00:00+00:00,2025-01-05 01:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,50.520862,44.62,2.041899,3.858963
2025-01-05 01:00:00+00:00,2025-01-05 02:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,47.275017,43.69,0.184464,3.400553
2025-01-05 02:00:00+00:00,2025-01-05 03:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,46.252555,43.26,-0.185917,3.178472
2025-01-05 03:00:00+00:00,2025-01-05 04:00:00+00:00,DAY_AHEAD_HOURLY,DPL,51293,DPL,ZONE,46.509049,42.44,1.101418,2.967631
