interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,22.206965,22.75,0.092639,-0.635674
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,22.843912,23.47,0.083351,-0.709439
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,25.683497,26.56,0.071063,-0.947566
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,31.249194,32.58,0.072005,-1.402811
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,31.362729,32.48,0.104954,-1.222225
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,31.094455,32.22,0.045314,-1.170859
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,31.113368,32.08,-0.02,-0.946632
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,29.426738,30.04,-0.02,-0.593262
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,29.241252,29.6,-0.02,-0.338748
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,27.360787,27.7,-0.011302,-0.327911
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,24.769862,25.11,0.164561,-0.504699
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,23.516769,23.79,0.150183,-0.423414
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,23.344093,23.58,0.13982,-0.375727
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,23.513922,23.67,0.132223,-0.288301
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,25.04358,25.05,0.219705,-0.226125
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,28.666781,28.33,0.609146,-0.272365
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,37.682177,37.16,0.911357,-0.38918
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,46.187581,45.92,0.913443,-0.645862
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,37.574026,37.46,0.461543,-0.347517
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,34.184812,34.22,0.283926,-0.319114
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,32.389948,33.25,-0.356058,-0.503994
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,31.166969,32.12,-0.37865,-0.574381
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,28.683162,29.61,-0.288309,-0.638529
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,28.300637,29.36,-0.299874,-0.759489
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,28.332552,29.3,-0.119431,-0.848017
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,28.409563,29.36,-0.04,-0.910437
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,35.627639,36.95,-0.03,-1.292361
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,49.992513,52.04,-0.04,-2.007487
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,42.852414,44.13,-0.050311,-1.227275
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,38.188136,39.27,-0.019824,-1.06204
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,37.409321,38.57,-0.004948,-1.155731
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,36.205935,37.34,-0.133388,-1.000677
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,33.487498,34.39,-0.016537,-0.885965
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,30.8573,31.49,0.21188,-0.84458
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,28.277707,28.73,0.3174,-0.769693
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,28.19514,28.45,0.431422,-0.686282
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,27.44039,27.6,0.492517,-0.652127
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,27.495542,27.58,0.534739,-0.619197
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,27.726317,27.78,0.57804,-0.631723
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,29.663325,29.86,0.527824,-0.724499
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,36.277147,37.02,0.308106,-1.050959
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,41.019074,42.25,-0.010143,-1.220783
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,37.869488,37.95,0.542665,-0.623177
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,33.207575,33.38,0.483599,-0.656024
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,32.00361,32.49,0.164114,-0.650504
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,30.241011,30.93,0.048759,-0.737748
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,28.399746,29.36,-0.202673,-0.757581
2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,27.099072,28.21,-0.280106,-0.830822
2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,26.641979,27.74,-0.195263,-0.902758
2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,28.79367,29.39,0.300442,-0.896772
2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,31.615009,32.5,0.229587,-1.114578
2025-01-03 22:00:00+00:00,2025-01-03 23:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,39.804954,41.36,0.0921,-1.647146
2025-01-03 23:00:00+00:00,2025-01-04 00:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,38.462997,39.84,0.0334,-1.410403
2025-01-04 00:00:00+00:00,2025-01-04 01:00:00+00:00,DAY_AHEAD_HOURLY,EKPC,970242670,EKPC,ZONE,36.434536,37.62,0.083259,-1.268723
