interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,22.28,22.75,0.19,-0.66
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,22.91,23.47,0.17,-0.73
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,25.76,26.56,0.16,-0.96
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,31.19,32.58,0.11,-1.5
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,31.22,32.48,0.13,-1.39
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,30.96,32.22,0.06,-1.32
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,30.9,32.08,-0.02,-1.16
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,29.22,30.04,-0.02,-0.8
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,29.0,29.6,-0.02,-0.58
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,27.17,27.7,-0.01,-0.52
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,24.61,25.11,0.15,-0.65
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,23.36,23.79,0.14,-0.57
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,23.2,23.58,0.13,-0.51
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,23.33,23.67,0.12,-0.46
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,24.83,25.05,0.2,-0.42
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,28.37,28.33,0.55,-0.51
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,37.29,37.16,0.84,-0.71
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,45.76,45.92,0.91,-1.07
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,37.11,37.46,0.43,-0.78
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,OVEC,1709725933,OVEC,ZONE,33.8,34.22,0.28,-0.7
