interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,23.397959,22.75,0.19,0.457959
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,24.101518,23.47,0.100022,0.531496
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,27.21846,26.56,-0.058934,0.717394
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,33.575239,32.58,-0.332729,1.327968
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,33.369222,32.48,-0.389054,1.278276
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,32.814696,32.22,-0.432743,1.027439
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,32.606471,32.08,-0.334496,0.860967
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,30.056922,30.04,-0.310199,0.327121
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,29.508122,29.6,-0.087984,-0.003894
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,27.455579,27.7,-0.167516,-0.076905
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,23.874119,25.11,-1.281099,0.045218
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,22.539467,23.79,-1.203391,-0.047142
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,22.238508,23.58,-1.147591,-0.193901
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,22.252293,23.67,-1.107099,-0.310608
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,22.833024,25.05,-1.757342,-0.459634
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,23.11885,28.33,-4.789585,-0.421565
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,30.068914,37.16,-6.496943,-0.594143
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,40.832599,45.92,-4.797504,-0.289897
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,34.087227,37.46,-3.104245,-0.268528
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,32.810103,34.22,-1.425024,0.015127
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,33.346655,33.25,-0.08799,0.184645
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,32.498871,32.12,0.137855,0.241016
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,30.020996,29.61,0.07279,0.338206
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,29.978787,29.36,0.152676,0.466111
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,29.958604,29.3,0.030282,0.628322
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,29.795785,29.36,-0.089976,0.525761
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,DAY_AHEAD_HOURLY,PECO,51297,PECO,ZONE,37.683226,36.95,-0.114599,0.847825
