interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,22.886795,22.75,-0.060371,0.197166
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,23.62317,23.47,-0.073545,0.226715
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,26.84853,26.56,-0.024256,0.312786
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,33.122886,32.58,0.078849,0.464037
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,32.820288,32.48,-0.032704,0.372992
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,32.50193,32.22,-0.035228,0.317158
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,32.396691,32.08,-0.055946,0.372637
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,30.195755,30.04,-0.093409,0.249163
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,29.703362,29.6,-0.067327,0.170689
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,27.731615,27.7,-0.064514,0.096129
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,25.31706,25.11,0.209607,-0.002547
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,23.999458,23.79,0.188392,0.021066
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,23.756262,23.58,0.153521,0.022741
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,23.84495,23.67,0.145126,0.029824
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,PJM-RTO,1,PJM-RTO,ZONE,25.348112,25.05,0.305452,-0.00734
