interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,23.146312,22.75,0.101766,0.294546
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,23.777454,23.47,-0.040649,0.348103
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,26.541396,26.56,-0.504352,0.485748
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,32.754056,32.58,-0.845616,1.019672
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,32.554555,32.48,-0.874402,0.948957
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,32.017275,32.22,-0.957028,0.754303
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,31.853511,32.08,-0.85819,0.631701
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,29.416231,30.04,-0.773969,0.1502
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,28.929442,29.6,-0.494432,-0.176126
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,26.911327,27.7,-0.552672,-0.236001
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,23.51678,25.11,-1.509726,-0.083494
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,22.22924,23.79,-1.411938,-0.148822
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,21.928044,23.58,-1.355487,-0.296469
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,21.942122,23.67,-1.319578,-0.4083
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,22.576404,25.05,-1.897409,-0.576187
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,PPL,51299,PPL,ZONE,23.198597,28.33,-4.586063,-0.54534
