interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,23.9731,22.75,0.190704,1.032396
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,24.706942,23.47,0.10093,1.136012
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,28.074254,26.56,0.064976,1.449278
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,34.684832,32.58,-0.164527,2.269359
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,34.325272,32.48,-0.34696,2.192232
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,33.781305,32.22,-0.377179,1.938484
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,33.515244,32.08,-0.328285,1.763529
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,30.847223,30.04,-0.303211,1.110434
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,30.164782,29.6,-0.081781,0.646563
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,28.081909,27.7,-0.161019,0.542928
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,24.61721,25.11,-1.173959,0.681169
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,23.191977,23.79,-1.104205,0.506182
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,22.868496,23.58,-1.054,0.342496
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,22.878876,23.67,-1.016131,0.225007
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,23.536007,25.05,-1.614012,0.100019
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,24.108161,28.33,-4.419008,0.197169
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,31.449681,37.16,-5.979629,0.26931
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,41.931714,45.92,-4.744588,0.756302
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,35.212851,37.46,-2.84278,0.595631
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,33.683108,34.22,-1.284413,0.747521
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,34.051794,33.25,-0.08689,0.888684
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,33.154606,32.12,0.119332,0.915274
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,DAY_AHEAD_HOURLY,PSEG,51301,PSEG,ZONE,30.644664,29.61,0.058783,0.975881
