EV,E_bat_max (kWh),n,Pchrg (kW),SOEa,SOEd,Ta_hr,Td_hr
EV1,20,0.9,3,0.2,0.95,17,31
EV2,20,0.9,3,0.1,0.95,18,31
EV3,20,0.9,3,0.3,0.95,19,32
EV4,20,0.9,3,0.4,0.95,19,31
EV5,20,0.9,3,0.2,0.95,18,30
EV6,20,0.9,3,0.2,0.95,17,31
EV7,20,0.9,3,0.1,0.95,18,31
EV8,20,0.9,3,0.3,0.95,19,32
EV9,20,0.9,3,0.4,0.95,19,31
EV10,20,0.9,3,0.2,0.95,18,30
EV11,20,0.9,3,0.2,0.95,17,31
EV12,20,0.9,3,0.1,0.95,18,31
EV13,20,0.9,3,0.3,0.95,19,32
EV14,20,0.9,3,0.4,0.95,19,31
EV15,20,0.9,3,0.2,0.95,18,30
EV16,20,0.9,3,0.2,0.95,17,31
EV17,20,0.9,3,0.1,0.95,18,31
EV18,20,0.9,3,0.3,0.95,19,32
EV19,20,0.9,3,0.4,0.95,19,31
EV20,20,0.9,3,0.2,0.95,18,30
EV21,20,0.9,3,0.2,0.95,17,31
EV22,20,0.9,3,0.1,0.95,18,31
EV23,20,0.9,3,0.3,0.95,19,32
EV24,20,0.9,3,0.4,0.95,19,31
EV25,20,0.9,3,0.2,0.95,18,30
EV26,20,0.9,3,0.2,0.95,17,31
EV27,20,0.9,3,0.1,0.95,18,31
EV28,20,0.9,3,0.3,0.95,19,32
EV29,20,0.9,3,0.4,0.95,19,31
EV30,20,0.9,3,0.2,0.95,18,30
EV31,20,0.9,3,0.2,0.95,17,31
EV32,20,0.9,3,0.1,0.95,18,31
EV33,20,0.9,3,0.3,0.95,19,32
EV34,20,0.9,3,0.4,0.95,19,31
EV35,20,0.9,3,0.2,0.95,18,30
EV36,20,0.9,3,0.2,0.95,17,31
EV37,20,0.9,3,0.1,0.95,18,31
EV38,20,0.9,3,0.3,0.95,19,32
EV39,20,0.9,3,0.4,0.95,19,31
EV40,20,0.9,3,0.2,0.95,18,30
EV41,20,0.9,3,0.2,0.95,17,31
EV42,20,0.9,3,0.1,0.95,18,31
EV43,20,0.9,3,0.3,0.95,19,32
EV44,20,0.9,3,0.4,0.95,19,31
EV45,20,0.9,3,0.2,0.95,18,30
EV46,20,0.9,3,0.2,0.95,17,31
EV47,20,0.9,3,0.1,0.95,18,31
EV48,20,0.9,3,0.3,0.95,19,32
