EV,E_bat_max (kWh),n,Pchrg (kW),SOEa,SOEd,Ta_hr,Td_hr
EV1,20,0.9,3,0.2,0.95,30,42
EV2,20,0.9,3,0.1,0.95,30,42
EV3,20,0.9,3,0.3,0.95,30,42
EV4,20,0.9,3,0.4,0.95,30,42
EV5,20,0.9,3,0.2,0.95,30,42
EV6,20,0.9,3,0.2,0.95,30,42
EV7,20,0.9,3,0.1,0.95,30,42
EV8,20,0.9,3,0.3,0.95,30,42
EV9,20,0.9,3,0.4,0.95,30,42
EV10,20,0.9,3,0.2,0.95,30,42
EV11,20,0.9,3,0.2,0.95,30,42
EV12,20,0.9,3,0.1,0.95,30,42
EV13,20,0.9,3,0.3,0.95,30,42
EV14,20,0.9,3,0.4,0.95,30,42
EV15,20,0.9,3,0.2,0.95,30,42
EV16,20,0.9,3,0.2,0.95,30,42
EV17,20,0.9,3,0.1,0.95,30,42
EV18,20,0.9,3,0.3,0.95,30,42
EV19,20,0.9,3,0.4,0.95,30,42
EV20,20,0.9,3,0.2,0.95,30,42
EV21,20,0.9,3,0.2,0.95,30,42
EV22,20,0.9,3,0.1,0.95,30,42
EV23,20,0.9,3,0.3,0.95,30,42
EV24,20,0.9,3,0.4,0.95,30,42
EV25,20,0.9,3,0.2,0.95,30,42
EV26,20,0.9,3,0.2,0.95,30,42
EV27,20,0.9,3,0.1,0.95,30,42
EV28,20,0.9,3,0.3,0.95,30,42
EV29,20,0.9,3,0.4,0.95,30,42
EV30,20,0.9,3,0.2,0.95,30,42
EV31,20,0.9,3,0.2,0.95,30,42
EV32,20,0.9,3,0.1,0.95,30,42
EV33,20,0.9,3,0.3,0.95,30,42
EV34,20,0.9,3,0.4,0.95,30,42
EV35,20,0.9,3,0.2,0.95,30,42
EV36,20,0.9,3,0.2,0.95,30,42
EV37,20,0.9,3,0.1,0.95,30,42
EV38,20,0.9,3,0.3,0.95,30,42
EV39,20,0.9,3,0.4,0.95,30,42
EV40,20,0.9,3,0.2,0.95,30,42
EV41,20,0.9,3,0.2,0.95,30,42
