interval_start_utc,interval_end_utc,region,market,non_spinning_reserves,regulation_down,regulation_mileage_down,regulation_mileage_up,regulation_up,spinning_reserves
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,AS_NP26_EXP,DAM,0.16,0.0,0.0,0.0,0.34,0.34
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,AS_NP26_EXP,DAM,0.16,0.0,0.0,0.0,0.16,0.16
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,AS_NP26_EXP,DAM,0.36,0.0,0.0,0.0,0.36,0.36
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,AS_NP26_EXP,DAM,0.0923,0.0,0.0,0.0,0.7523,0.0923
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,AS_NP26_EXP,DAM,0.06,2.01,0.0,0.0,0.12,0.12
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,AS_NP26_EXP,DAM,0.36,3.34,0.0,0.0,0.36,0.36
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,AS_NP26_EXP,DAM,0.36,0.11,0.0,0.0,0.36,0.36
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,AS_NP26_EXP,DAM,0.0,2.54524,0.0,0.0,0.0,0.0
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,AS_NP26_EXP,DAM,0.46266,1.25326,0.0,0.0,0.46266,0.46266
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.34526,0.0,0.0,0.0,0.0
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0,1.30737,0.0
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,AS_NP26_EXP,DAM,0.0,1.11492,0.0,0.0,0.0,0.0
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.38764,0.0,0.0,0.0,0.0
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.74629,0.0,0.0,0.0,0.0
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,AS_NP26_EXP,DAM,0.0,0.0,0.0,0.0,0.5,0.5
