datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr
2/1/2025 4:00:00 AM,1/31/2025 11:00:00 PM,2/1/2025 5:00:00 AM,2/1/2025 12:00:00 AM,35.60,6.68,83790.71900,465.45145,546.53475,231.21693,381.49540,22198.08,8781.84
2/1/2025 3:00:00 AM,1/31/2025 10:00:00 PM,2/1/2025 4:00:00 AM,1/31/2025 11:00:00 PM,11.98,5.12,87476.65500,137.66240,558.28329,229.23018,394.54063,7435.93,8181.59
2/1/2025 2:00:00 AM,1/31/2025 9:00:00 PM,2/1/2025 3:00:00 AM,1/31/2025 10:00:00 PM,16.14,4.24,90975.36700,1709.03958,557.92401,237.78392,389.82912,10064.79,8994.32
2/1/2025 1:00:00 AM,1/31/2025 8:00:00 PM,2/1/2025 2:00:00 AM,1/31/2025 9:00:00 PM,7.36,2.12,93586.02200,1583.80259,551.44557,376.96527,247.00273,4596.44,3063.29
2/1/2025 12:00:00 AM,1/31/2025 7:00:00 PM,2/1/2025 1:00:00 AM,1/31/2025 8:00:00 PM,8.82,4.94,95453.93400,541.53939,531.77346,385.75494,216.16864,5270.96,6589.66
1/31/2025 11:00:00 PM,1/31/2025 6:00:00 PM,2/1/2025 12:00:00 AM,1/31/2025 7:00:00 PM,13.38,4.54,97046.59000,1574.17714,558.93071,448.89246,183.65332,8432.37,24717.74
1/31/2025 10:00:00 PM,1/31/2025 5:00:00 PM,1/31/2025 11:00:00 PM,1/31/2025 6:00:00 PM,21.38,1.84,96638.53900,1577.14232,544.13263,386.50466,229.41086,13199.83,2580.96
1/31/2025 9:00:00 PM,1/31/2025 4:00:00 PM,1/31/2025 10:00:00 PM,1/31/2025 5:00:00 PM,5.89,2.11,95065.34900,865.24609,543.57028,387.87978,226.54052,3600.86,3129.74
1/31/2025 8:00:00 PM,1/31/2025 3:00:00 PM,1/31/2025 9:00:00 PM,1/31/2025 4:00:00 PM,3.99,2.23,94552.03100,2090.42870,395.10079,329.46351,116.84715,1780.64,3817.98
1/31/2025 7:00:00 PM,1/31/2025 2:00:00 PM,1/31/2025 8:00:00 PM,1/31/2025 3:00:00 PM,13.65,5.67,95353.55200,848.32188,378.35182,220.84295,205.78358,5802.59,6249.18
1/31/2025 6:00:00 PM,1/31/2025 1:00:00 PM,1/31/2025 7:00:00 PM,1/31/2025 2:00:00 PM,12.14,0.38,96615.70300,3154.69872,379.26590,206.80542,221.07573,5199.09,344.09
1/31/2025 5:00:00 PM,1/31/2025 12:00:00 PM,1/31/2025 6:00:00 PM,1/31/2025 1:00:00 PM,17.28,0.34,97930.63000,1636.81505,389.39846,212.65180,223.12510,7533.58,540.48
1/31/2025 4:00:00 PM,1/31/2025 11:00:00 AM,1/31/2025 5:00:00 PM,1/31/2025 12:00:00 PM,32.78,5.18,98596.93900,2820.98280,449.86418,157.82132,284.26484,14160.87,7694.20
1/31/2025 3:00:00 PM,1/31/2025 10:00:00 AM,1/31/2025 4:00:00 PM,1/31/2025 11:00:00 AM,16.50,0.37,99200.80300,1710.94743,455.53694,156.86209,291.49976,7441.07,365.50
